TrainNo,TrainName,TrainNumber,trainName,
,,'11043',MADURAI EXPRESS,
,,'11044',LOKAMANYA TT EX,
,,'11045',DIKSHABHOOMI EX,
,,'11046',DIKSHABHUMI EXP,
,,'11047',MIRAJ UBL EXP  ,
,,'11048',UBL MRJ EXPRESS,
,,'11049',KOLHAPUR EXPRES,
,,'11050',AHMEDABAD EXP  ,
,,'11051',SUR KOP EXP    ,
,,'11052',KOP SOLAPUR EXP,
,,'11053',LTT AZAMGARH EX,
,,'11054',AMH LTT EXP    ,
,,'11055',GODAN EXPRESS  ,
,,'11056',GODAN EXPRESS  ,
,,'11057',AMRITSAR EXPRES,
,,'11058',ASR CSTM  EXP  ,
,,'11059',CHHAPRA EXPRESS,
,,'11060',CPR LTT EXPRESS,
,,'11061',MUZAFFARPUR EXP,
,,'11062',MFP LTT EXPRESS,
,,'11063',MS SALEM EXP   ,
,,'11064',SA CHENNAI EXP ,
,,'11065',DARBHANGA  EXP ,
,,'11066',DBG LTT EXPRESS,
,,'11067',SAKET EXPRESS  ,
,,'11068',SAKET EXPRESS  ,
,,'11069',TULSI EXPRESS  ,
,,'11070',TULSI EXPRESS  ,
,,'11071',KAMAYANI EXPRES,
,,'11072',KAMAYANI EXPRES,
,,'11073',LTT CHENNAI  EX,
,,'11074',CHENNAI LTT EXP,
,,'11075',LTT BIDR EXPRES,
,,'11076',BIDR LTT EXP   ,
,,'11077',JHELUM EXPRESS ,
,,'11078',JHELUM EXPRESS ,
,,'11081',LTT GKP EXPRESS,
,,'11082',GKP LTT EXP    ,
,,'11087',VERAVAL PUNE EX,
,,'11088',PUNE VERAVAL EX,
,,'11089',BGKTPUNE EXPRES,
,,'11090',PUNE BGKT EXP  ,
,,'11091',BHUJ PUNE EXP  ,
,,'11092',PUNE BHUJ EXP  ,
,,'11093',MAHANAGARI EXP ,
,,'11094',MAHANAGARI EXP ,
,,'11095',AHIMSA EXPRESS ,
,,'11096',AHIMSA EXPRESS ,
,,'11097',POORNA EXPRESS ,
,,'11098',POORNA EXPRESS ,
,,'11101',PUNE GWALIOR EX,
,,'11102',GWL PUNE EXP   ,
,,'11103',JHS BDTS EXP   ,
,,'11104',BDTS JHANSI EXP,
,,'11105',PRATHAM S S EXP,
,,'11106',PRATHAM S SNGRM,
,,'11107',BUNDELKHAND EXP,
,,'11108',BUNDELKHAND EXP,
,,'11109',JHS LJN  INT EX,
,,'11110',LJN JHS INT EXP,
,,'11111',GD SUSHASAN EXP,
,,'11112',GWL SUSHASAN EX,
,,'11123',BJU GWL MAIL   ,
,,'11124',GWL BJU MAIL   ,
,,'11125',IND GWALIAR EXP,
,,'11126',GWL INDB EXPRES,
,,'11201',LTT AJNI EXPRES,
,,'11202',AJNI LTT EXPRES,
,,'11203',NGP JAIPUR EXP ,
,,'11204',JP NGP EXP     ,
,,'11205',LTT NZB EXPRESS,
,,'11206',NZB  LTT EXP   ,
,,'11207',NGP REWA EXP   ,
,,'11208',REWA NAGPUR EXP,
,,'11265',AMBIKAPUR EXPRE,
,,'11266',ABKP JBP EXPRES,
,,'11271',VINDHYACHAL EXP,
,,'11272',VINDHYACHAL EXP,
,,'11301',UDYAN EXPRESS  ,
,,'11302',UDYAN EXP      ,
,,'11303',HYB KOP EXPRESS,
,,'11304',KOP HYB EXPRESS,
,,'11305',CSTM SOLAPUR EX,
,,'11306',SOLAPUR CSTM EX,
,,'11401',NANDIGRAM  EXP ,
,,'11402',NANDIGRAM  EXP ,
,,'11403',NGP KOP EXPRESS,
,,'11404',KOP NAGPUR EXP ,
,,'11405',PUNE AMI EXP   ,
,,'11406',AMI PUNE EXP   ,
,,'11407',PUNE LJN EXPRES,
,,'11408',LJN PUNE EXP   ,
,,'11423',SUR HUBLI EXP  ,
,,'11424',SOLAPUR EXPRESS,
,,'11447',SHAKTIPUNJ EXP ,
,,'11448',SHAKTIPUNJ EXP ,
,,'11449',JAMMUTAWI EXP  ,
,,'11450',JAT  JBP EXPRES,
