TrainNo,TrainName,Type,Distance,Region,Day,DelayInMin
18238,Chhatisgarh Express,1,1,2,2,5
18238,Chhatisgarh Express,1,1,2,3,34
18238,Chhatisgarh Express,1,1,2,5,22
18238,Chhatisgarh Express,1,1,2,6,15
18238,Chhatisgarh Express,1,1,2,7,60
18238,Chhatisgarh Express,1,1,2,1,30
18238,Chhatisgarh Express,1,1,2,2,17
18238,Chhatisgarh Express,1,1,2,3,8
18238,Chhatisgarh Express,1,1,2,5,5
18238,Chhatisgarh Express,1,1,2,6,23
18238,Chhatisgarh Express,1,1,2,7,33
18238,Chhatisgarh Express,1,1,2,1,30
18238,Chhatisgarh Express,1,1,2,2,15
18238,Chhatisgarh Express,1,1,2,3,18
18238,Chhatisgarh Express,1,1,2,5,22
18238,Chhatisgarh Express,1,1,2,6,35
18238,Chhatisgarh Express,1,1,2,7,50
18238,Chhatisgarh Express,1,1,2,1,59
18238,Chhatisgarh Express,1,1,2,2,37
18238,Chhatisgarh Express,1,1,2,3,17
18238,Chhatisgarh Express,1,1,2,5,28
18238,Chhatisgarh Express,1,1,2,6,12
18238,Chhatisgarh Express,1,1,2,7,31
18238,Chhatisgarh Express,1,0,2,1,20
18238,Chhatisgarh Express,1,0,2,2,5
18238,Chhatisgarh Express,1,0,2,3,16
18238,Chhatisgarh Express,1,0,2,5,11
18238,Chhatisgarh Express,1,0,2,6,15
18238,Chhatisgarh Express,1,0,2,7,30
18238,Chhatisgarh Express,1,0,2,1,19
18238,Chhatisgarh Express,1,0,2,2,9
18238,Chhatisgarh Express,1,0,2,3,10
18238,Chhatisgarh Express,1,0,2,5,7
18238,Chhatisgarh Express,1,0,2,6,12
18238,Chhatisgarh Express,1,0,2,7,17
18238,Chhatisgarh Express,1,0,2,1,20
18238,Chhatisgarh Express,1,0,2,2,10
18238,Chhatisgarh Express,1,0,2,3,8
18238,Chhatisgarh Express,1,0,2,5,5
18238,Chhatisgarh Express,1,0,2,6,21
18238,Chhatisgarh Express,1,0,2,7,31
18238,Chhatisgarh Express,1,0,2,1,37
18238,Chhatisgarh Express,1,0,2,2,19
18238,Chhatisgarh Express,1,0,2,3,15
18238,Chhatisgarh Express,1,0,2,5,14
18238,Chhatisgarh Express,1,0,2,6,5
18238,Chhatisgarh Express,1,0,2,7,20
12011,Kalka shatabdi,0,0,2,1,12
12011,Kalka shatabdi,0,0,2,2,8
12011,Kalka shatabdi,0,0,2,3,18
12011,Kalka shatabdi,0,0,2,4,10
12011,Kalka shatabdi,0,0,2,5,10
12011,Kalka shatabdi,0,0,2,6,23
12011,Kalka shatabdi,0,0,2,7,19
12011,Kalka shatabdi,0,0,2,1,9
12011,Kalka shatabdi,0,0,2,2,9
12011,Kalka shatabdi,0,0,2,3,11
12011,Kalka shatabdi,0,0,2,4,8
12011,Kalka shatabdi,0,0,2,5,5
12011,Kalka shatabdi,0,0,2,6,12
12011,Kalka shatabdi,0,0,2,7,7
12011,Kalka shatabdi,0,0,2,1,7
12011,Kalka shatabdi,0,0,2,2,12
12011,Kalka shatabdi,0,0,2,3,9
12011,Kalka shatabdi,0,0,2,4,10
12011,Kalka shatabdi,0,0,2,5,10
12011,Kalka shatabdi,0,0,2,6,14
12011,Kalka shatabdi,0,0,2,7,12
14095,Himalyan Queen,1,0,2,1,13
14095,Himalyan Queen,1,0,2,2,15
14095,Himalyan Queen,1,0,2,3,10
14095,Himalyan Queen,1,0,2,4,10
14095,Himalyan Queen,1,0,2,5,7
14095,Himalyan Queen,1,0,2,6,9
14095,Himalyan Queen,1,0,2,7,13
14095,Himalyan Queen,1,0,2,1,8
14095,Himalyan Queen,1,0,2,2,12
14095,Himalyan Queen,1,0,2,3,10
14095,Himalyan Queen,1,0,2,4,9
14095,Himalyan Queen,1,0,2,5,5
14095,Himalyan Queen,1,0,2,6,5
14095,Himalyan Queen,1,0,2,7,8
14095,Himalyan Queen,1,0,2,1,10
14095,Himalyan Queen,1,0,2,2,12
14095,Himalyan Queen,1,0,2,3,13
14095,Himalyan Queen,1,0,2,4,8
14095,Himalyan Queen,1,0,2,5,5
14095,Himalyan Queen,1,0,2,6,15
14095,Himalyan Queen,1,0,2,7,18
14645,Shalimar Express,1,1,2,1,47
14645,Shalimar Express,1,1,2,2,20
14645,Shalimar Express,1,1,2,3,95
14645,Shalimar Express,1,1,2,4,32
14645,Shalimar Express,1,1,2,5,18
14645,Shalimar Express,1,1,2,6,38
14645,Shalimar Express,1,1,2,7,33
14645,Shalimar Express,1,1,2,1,28
14645,Shalimar Express,1,1,2,2,5
14645,Shalimar Express,1,1,2,3,9
14645,Shalimar Express,1,1,2,4,20
14645,Shalimar Express,1,1,2,5,18
14645,Shalimar Express,1,1,2,6,20
14645,Shalimar Express,1,1,2,7,75
14645,Shalimar Express,1,1,2,1,15
14645,Shalimar Express,1,1,2,2,19
14645,Shalimar Express,1,1,2,3,8
14645,Shalimar Express,1,1,2,4,17
14645,Shalimar Express,1,1,2,5,19
14645,Shalimar Express,1,1,2,6,8
14645,Shalimar Express,1,1,2,7,17
12002,Bhopal Shatabdi,0,1,3,1,6
12002,Bhopal Shatabdi,0,1,3,2,0
12002,Bhopal Shatabdi,0,1,3,3,10
12002,Bhopal Shatabdi,0,1,3,4,0
12002,Bhopal Shatabdi,0,1,3,5,15
12002,Bhopal Shatabdi,0,1,3,6,20
12002,Bhopal Shatabdi,0,1,3,7,60
12002,Bhopal Shatabdi,0,1,3,1,25
12002,Bhopal Shatabdi,0,1,3,2,7
12002,Bhopal Shatabdi,0,1,3,3,0
12002,Bhopal Shatabdi,0,1,3,4,13
12002,Bhopal Shatabdi,0,1,3,5,22
