Train No,Train name,Type,Distance,Destination/path,Day of week,Delay(min)
,,,,,,
,,(0/1),(0/1),(1/2/3/4),(1/2/…/7)),
18101,Tata Jat Express,1,1,3,2,75
18101,Tata Jat Express,1,1,3,3,127
18101,Tata Jat Express,1,1,3,4,80
18101,Tata Jat Express,1,1,3,5,90
18101,Tata Jat Express,1,1,3,6,130
18101,Tata Jat Express,1,1,3,7,121
18101,Tata Jat Express,1,1,3,1,65
18101,Tata Jat Express,1,1,3,2,77
18101,Tata Jat Express,1,1,3,3,95
18101,Tata Jat Express,1,1,3,4,90
18101,Tata Jat Express,1,1,3,5,135
18101,Tata Jat Express,1,1,3,6,135
18101,Tata Jat Express,1,1,3,7,155
18101,Tata Jat Express,1,1,3,1,105
18101,Tata Jat Express,1,1,3,2,70
18101,Tata Jat Express,1,1,3,3,78
18101,Tata Jat Express,1,1,3,4,72
18101,Tata Jat Express,1,1,3,5,70
18101,Tata Jat Express,1,1,3,6,105
18101,Tata Jat Express,1,1,3,7,120
14645,Shalimar Express,1,1,3,1,42
14645,Shalimar Express,1,1,3,2,15
14645,Shalimar Express,1,1,3,3,90
14645,Shalimar Express,1,1,3,4,27
14645,Shalimar Express,1,1,3,5,13
14645,Shalimar Express,1,1,3,6,33
14645,Shalimar Express,1,1,3,7,28
14645,Shalimar Express,1,1,3,1,23
14645,Shalimar Express,1,1,3,2,0
14645,Shalimar Express,1,1,3,3,4
14645,Shalimar Express,1,1,3,4,15
14645,Shalimar Express,1,1,3,5,13
14645,Shalimar Express,1,1,3,6,15
14645,Shalimar Express,1,1,3,7,70
14645,Shalimar Express,1,1,3,1,10
14645,Shalimar Express,1,1,3,2,14
14645,Shalimar Express,1,1,3,3,3
14645,Shalimar Express,1,1,3,4,12
14645,Shalimar Express,1,1,3,5,14
14645,Shalimar Express,1,1,3,6,3
14645,Shalimar Express,1,1,3,7,12
12424,dbrt rajdhani,0,1,4,1,9
12425,dbrt rajdhani,0,1,4,2,12
12426,dbrt rajdhani,0,1,4,3,7
12427,dbrt rajdhani,0,1,4,4,3
